问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\Commands\DSHCommands.cs,50,16,T:System.Windows.Application,,,,,"var dialog = new PromptDialog(ctx, forceSelection)                 {                     Owner = Application.Current?.MainWindow                 };"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\Commands\DSHCommands.cs,50,16,P:System.Windows.Application.Current,,,,,"var dialog = new PromptDialog(ctx, forceSelection)                 {                     Owner = Application.Current?.MainWindow                 };"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\Commands\DSHCommands.cs,50,16,T:System.Windows.Window,,,,,"var dialog = new PromptDialog(ctx, forceSelection)                 {                     Owner = Application.Current?.MainWindow                 };"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\Commands\DSHCommands.cs,50,16,P:System.Windows.Window.Owner,,,,,"var dialog = new PromptDialog(ctx, forceSelection)                 {                     Owner = Application.Current?.MainWindow                 };"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\Commands\DSHCommands.cs,40,12,M:System.ComponentModel.Design.MenuCommandService.AddCommand(System.ComponentModel.Design.MenuCommand),,,,,mcs.AddCommand(cancel);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\Commands\DSHCommands.cs,34,12,M:System.ComponentModel.Design.MenuCommandService.AddCommand(System.ComponentModel.Design.MenuCommand),,,,,mcs.AddCommand(openWeb);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\Commands\DSHCommands.cs,29,12,M:System.ComponentModel.Design.MenuCommandService.AddCommand(System.ComponentModel.Design.MenuCommand),,,,,mcs.AddCommand(askSelection);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\Commands\DSHCommands.cs,24,12,M:System.ComponentModel.Design.MenuCommandService.AddCommand(System.ComponentModel.Design.MenuCommand),,,,,mcs.AddCommand(ask);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\UI\PromptDialogViewModel.cs,232,16,P:System.Windows.Window.DialogResult,,,,,window.DialogResult = true;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\obj\Debug\net472\UI\DSHWebWindowControl.g.i.cs,68,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
